product,date,min,max,avg
Tomato Big(Nepali),2024-03-13,50.0,60.0,55.0
Tomato Big(Indian),2024-03-13,50.0,60.0,55.0
Tomato Small(Local),2024-03-13,20.0,30.0,25.0
Tomato Small(Tunnel),2024-03-13,25.0,35.0,30.0
Tomato Small(Indian),2024-03-13,25.0,35.0,30.0
Potato Red,2024-03-13,34.0,36.0,35.0
Potato Red(Indian),2024-03-13,36.0,40.0,38.0
Onion Dry (Indian),2024-03-13,72.0,78.0,75.0
Carrot(Local),2024-03-13,30.0,35.0,32.67
Carrot(Terai),2024-03-13,25.0,30.0,27.67
Cabbage(Local),2024-03-13,25.0,30.0,27.67
Cabbage,2024-03-13,20.0,28.0,24.33
Cauli Local,2024-03-13,30.0,40.0,35.0
Cauli Local(Jyapu),2024-03-13,40.0,50.0,45.0
Cauli Terai,2024-03-13,30.0,35.0,32.67
Raddish Red,2024-03-13,45.0,55.0,50.0
Raddish White(Local),2024-03-13,20.0,25.0,22.33
Raddish White(Hybrid),2024-03-13,25.0,30.0,27.67
Brinjal Long,2024-03-13,50.0,60.0,55.0
Brinjal Round,2024-03-13,50.0,60.0,55.0
Green Peas,2024-03-13,70.0,80.0,75.0
French Bean(Local),2024-03-13,70.0,80.0,75.0
French Bean(Hybrid),2024-03-13,70.0,80.0,75.0
French Bean(Rajma),2024-03-13,110.0,120.0,115.0
Sword Bean,2024-03-13,90.0,100.0,95.0
Bitter Gourd,2024-03-13,120.0,130.0,125.0
Bottle Gourd,2024-03-13,60.0,70.0,65.0
Pointed Gourd(Terai),2024-03-13,260.0,280.0,270.0
Smooth Gourd,2024-03-13,90.0,100.0,95.0
Pumpkin,2024-03-13,40.0,50.0,45.0
Squash(Long),2024-03-13,30.0,35.0,32.67
Squash(Round),2024-03-13,40.0,50.0,45.0
Turnip,2024-03-13,70.0,80.0,75.0
Okara,2024-03-13,90.0,100.0,95.0
Sweet Potato,2024-03-13,60.0,70.0,65.0
Barela,2024-03-13,40.0,50.0,45.0
Arum,2024-03-13,80.0,90.0,85.0
Christophine,2024-03-13,40.0,50.0,45.0
Brd Leaf Mustard,2024-03-13,30.0,40.0,35.0
Spinach Leaf,2024-03-13,60.0,70.0,65.0
Cress Leaf,2024-03-13,60.0,70.0,65.0
Mustard Leaf,2024-03-13,30.0,40.0,35.0
Fenugreek Leaf,2024-03-13,60.0,70.0,65.0
Onion Green,2024-03-13,40.0,50.0,45.0
Bakula,2024-03-13,40.0,50.0,45.0
Yam,2024-03-13,60.0,70.0,65.0
Mushroom(Kanya),2024-03-13,70.0,100.0,85.0
Mushroom(Button),2024-03-13,280.0,300.0,290.0
Asparagus,2024-03-13,600.0,800.0,700.0
Neuro,2024-03-13,80.0,90.0,85.0
Brocauli,2024-03-13,40.0,50.0,45.0
Sugarbeet,2024-03-13,60.0,70.0,65.0
Drumstick,2024-03-13,150.0,180.0,166.67
Bauhania flower,2024-03-13,70.0,80.0,75.0
Red Cabbbage,2024-03-13,50.0,60.0,55.0
Lettuce,2024-03-13,60.0,70.0,65.0
Knolkhol,2024-03-13,60.0,70.0,65.0
Celery,2024-03-13,90.0,100.0,95.0
Parseley,2024-03-13,150.0,200.0,176.67
Fennel Leaf,2024-03-13,60.0,70.0,65.0
Mint,2024-03-13,250.0,300.0,276.67
Turnip A,2024-03-13,60.0,70.0,65.0
Tamarind,2024-03-13,140.0,150.0,145.0
Bamboo Shoot,2024-03-13,100.0,120.0,110.0
Tofu,2024-03-13,150.0,170.0,160.0
Gundruk,2024-03-13,250.0,300.0,272.5
Apple(Jholey),2024-03-13,200.0,220.0,210.0
Apple(Fuji),2024-03-13,300.0,350.0,326.67
Banana,2024-03-13,120.0,130.0,125.0
Lime,2024-03-13,220.0,260.0,236.67
Pomegranate,2024-03-13,280.0,300.0,290.0
Grapes(Green),2024-03-13,120.0,140.0,130.0
Grapes(Black),2024-03-13,200.0,220.0,210.0
Orange(Indian),2024-03-13,90.0,100.0,95.0
Water Melon(Green),2024-03-13,45.0,50.0,47.67
Sweet Orange,2024-03-13,130.0,140.0,135.0
Mandarin,2024-03-13,220.0,250.0,233.33
Pineapple,2024-03-13,150.0,180.0,166.67
Cucumber(Local),2024-03-13,110.0,120.0,115.0
Cucumber(Hybrid),2024-03-13,50.0,60.0,55.0
Jack Fruit,2024-03-13,90.0,100.0,95.0
Lemon,2024-03-13,50.0,60.0,55.0
Pear(Chinese),2024-03-13,220.0,250.0,233.33
Papaya(Nepali),2024-03-13,70.0,80.0,75.0
Papaya(Indian),2024-03-13,70.0,80.0,75.0
Guava,2024-03-13,250.0,300.0,276.67
Mombin,2024-03-13,150.0,160.0,155.0
Kinnow,2024-03-13,90.0,100.0,95.0
Strawberry,2024-03-13,250.0,350.0,300.0
Kiwi,2024-03-13,450.0,500.0,476.67
Avocado,2024-03-13,500.0,550.0,526.67
Amla,2024-03-13,80.0,90.0,85.0
Ginger,2024-03-13,200.0,220.0,210.0
Chilli Dry,2024-03-13,400.0,450.0,426.67
Chilli Green,2024-03-13,180.0,190.0,185.0
Chilli Green(Bullet),2024-03-13,180.0,190.0,185.0
Chilli Green(Machhe),2024-03-13,90.0,100.0,95.0
Capsicum,2024-03-13,140.0,160.0,148.33
Garlic Green,2024-03-13,70.0,80.0,75.0
